id,state,rate,fuel_type,fuel_type_code,fips,abbrev,note,MMFR_year,effective_date,annual
13_1a_2014_1971_7,Georgia,7.5,Gasoline,1a,13,GA,,2014,07/01/1971 12:00:00 AM,1
13_1a_2015_2015_7,Georgia,26,Gasoline,1a,13,GA,,2015,07/01/2015 12:00:00 AM,1
13_1a_2016_2015_7,Georgia,26,Gasoline,1a,13,GA,,2016,07/01/2015 12:00:00 AM,1
13_1a_2017_2017_1,Georgia,26.3,Gasoline,1a,13,GA,,2017,01/01/2017 12:00:00 AM,1
13_1a_2018_2018_1,Georgia,26.8,Gasoline,1a,13,GA,,2018,01/01/2018 12:00:00 AM,1
13_1a_2019_2019_1,Georgia,27.5,Gasoline,1a,13,GA,,2019,01/01/2019 12:00:00 AM,1
13_1a_2020_2020_1,Georgia,27.9,Gasoline,1a,13,GA,,2020,01/01/2020 12:00:00 AM,1
13_1a_2021_2021_1,Georgia,28.7,Gasoline,1a,13,GA,,2021,01/01/2021 12:00:00 AM,1
13_1a_2022_2022_1,Georgia,29.1,Gasoline,1a,13,GA,,2022,01/01/2022 12:00:00 AM,1
13_1a_2023_2023_1,Georgia,31.2,Gasoline,1a,13,GA,,2023,01/01/2023 12:00:00 AM,1
13_1b_2013_1971_7,Georgia,7.5,Gasohol,1b,13,GA,,2013,07/01/1971 12:00:00 AM,1
13_1b_2014_1971_7,Georgia,7.5,Gasohol,1b,13,GA,,2014,07/01/1971 12:00:00 AM,1
13_1b_2015_2015_7,Georgia,26,Gasohol,1b,13,GA,,2015,07/01/2015 12:00:00 AM,1
13_1b_2023_2023_1,Georgia,31.2,Gasohol,1b,13,GA,,2023,01/01/2023 12:00:00 AM,1
13_2a_2013_1971_7,Georgia,7.5,Diesel,2a,13,GA,,2013,07/01/1971 12:00:00 AM,1
13_2a_2014_1971_7,Georgia,7.5,Diesel,2a,13,GA,,2014,07/01/1971 12:00:00 AM,1
13_2a_2015_2015_7,Georgia,29,Diesel,2a,13,GA,,2015,07/01/2015 12:00:00 AM,1
13_2a_2016_2015_7,Georgia,29,Diesel,2a,13,GA,,2016,07/01/2015 12:00:00 AM,1
13_2a_2017_2017_1,Georgia,29.4,Diesel,2a,13,GA,,2017,01/02/2017 12:00:00 AM,1
13_2a_2018_2018_1,Georgia,30,Diesel,2a,13,GA,,2018,01/01/2018 12:00:00 AM,1
13_2a_2019_2019_1,Georgia,30.8,Diesel,2a,13,GA,,2019,01/01/2019 12:00:00 AM,1
13_2a_2020_2020_1,Georgia,31.3,Diesel,2a,13,GA,,2020,01/01/2020 12:00:00 AM,1
13_2a_2021_2021_1,Georgia,32.2,Diesel,2a,13,GA,,2021,01/01/2021 12:00:00 AM,1
13_2a_2022_2022_1,Georgia,32.6,Diesel,2a,13,GA,,2022,01/01/2022 12:00:00 AM,1
13_2a_2023_2023_1,Georgia,35,Diesel,2a,13,GA,,2023,01/01/2023 12:00:00 AM,1
13_2b_2013_1971_7,Georgia,7.5,Liquefied Petroleum Gas,2b,13,GA,,2013,07/01/1971 12:00:00 AM,1
13_2b_2014_1971_7,Georgia,7.5,Liquefied Petroleum Gas,2b,13,GA,,2014,07/01/1971 12:00:00 AM,1
13_2b_2015_2015_7,Georgia,26,Liquefied Petroleum Gas,2b,13,GA,,2015,07/01/2015 12:00:00 AM,1
13_2b_2016_2015_7,Georgia,26,Liquefied Petroleum Gas,2b,13,GA,,2016,07/01/2015 12:00:00 AM,1
13_2b_2017_2017_1,Georgia,26.3,Liquefied Petroleum Gas,2b,13,GA,,2017,01/01/2017 12:00:00 AM,1
13_2b_2018_2018_1,Georgia,26.8,Liquefied Petroleum Gas,2b,13,GA,,2018,01/01/2018 12:00:00 AM,1
13_2b_2019_2019_1,Georgia,27.5,Liquefied Petroleum Gas,2b,13,GA,,2019,01/01/2019 12:00:00 AM,1
13_2b_2020_2020_1,Georgia,27.9,Liquefied Petroleum Gas,2b,13,GA,,2020,01/01/2020 12:00:00 AM,1
13_2b_2021_2021_1,Georgia,28.7,Liquefied Petroleum Gas,2b,13,GA,,2021,01/01/2021 12:00:00 AM,1
13_2b_2022_2022_1,Georgia,29.1,Liquefied Petroleum Gas,2b,13,GA,,2022,01/01/2022 12:00:00 AM,1
13_2b_2023_2023_1,Georgia,31.2,Liquefied Petroleum Gas,2b,13,GA,,2023,01/01/2023 12:00:00 AM,1
15_1a_2013_2007_7,Hawaii,17,Gasoline,1a,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2013,07/01/2007 12:00:00 AM,1
